İLÇE ADI,MAHALLE ADI,SES SKORU,nufus,nufus_yogunlugu,maliyet,agirlikli_puan
KADIKOY,CAFERAGA,100.0,23977,19324.0,567000,0.6588047960161603
BAKIRKOY,ATAKOY7-8-9-10.KISIM,100.0,24444,11918.0,525000,0.6563363544631957
SISLI,TESVIKIYE,100.0,11522,25431.0,543000,0.6497985767145931
BEYKOZ,ACARLAR,100.0,7319,1346.0,363000,0.6439381223995999
KADIKOY,SUADIYE,100.0,22484,15157.0,567000,0.6405677850604778
KADIKOY,ERENKOY,87.5,31098,23013.0,567000,0.6364637143597893
ATASEHIR,ATATURK,87.5,30063,11843.0,486000,0.6355119429328007
BAKIRKOY,ATAKOY2-5-6.KISIM,100.0,13671,11131.0,525000,0.6191414612969135
KADIKOY,FENERYOLU,87.5,24488,24161.0,567000,0.6188997660642359
USKUDAR,ALTUNIZADE,87.5,13886,7833.0,393000,0.6146171726155096
KADIKOY,CADDEBOSTAN,100.0,18316,11012.0,567000,0.6137959858555662
KADIKOY,FENERBAHCE,100.0,17657,10440.0,567000,0.6098318662575425
BASAKSEHIR,BAHCESEHIR1.KISIM,75.0,24548,2952.0,345000,0.5987879902278718
BEYKOZ,KANLICA,87.5,4242,3215.0,363000,0.5829217085773855
BESIKTAS,MURADIYE,87.5,5048,62042.0,777000,0.5789571830478873
BEYKOZ,ANADOLUHISARI,87.5,2644,2664.0,363000,0.5760044436653156
ESENYURT,ESENKENT,62.5,10183,13117.0,246000,0.575121791335631
ZEYTINBURNU,MALTEPE,87.5,2592,807.0,360000,0.5712722157833797
BEYOGLU,CIHANGIR,87.5,3482,31069.0,582000,0.5664831306191194
SISLI,CUMHURIYET,87.5,7255,19941.0,543000,0.5612293135360789
USKUDAR,KANDILLI,87.5,1712,1399.0,393000,0.5547099022568647
BAKIRKOY,ATAKOY3-4-11.KISIM,87.5,8150,12669.0,525000,0.5491953781297891
BEYOGLU,OMERAVNI,100.0,2092,8836.0,582000,0.5474777692377866
BAKIRKOY,SENLIKKOY,75.0,28206,9388.0,525000,0.5459969200317333
BAKIRKOY,YESILYURT,87.5,7816,11333.0,525000,0.5438137702382067
BEYOGLU,GUMUSSUYU,100.0,2109,6215.0,582000,0.5390826772849302
